core_subgraph_id,sar_frame,atom_id,candidate_role,membership_decision,boundary_distance_to_core_px,centroid_distance_to_core_px,shares_persistent_track,compatible_part_relation,background_arc_conflict,bbox_blank_ratio_if_included,decision_reason
R2C0021,52,R1A0053,isolated_small_atom,include_in_bbox,6,27.534858,false,true,false,0,near_core_compatible_optional_response
R2C0022,60,R1A0055,unresolved_atom,uncertain_bbox_membership,36,78.159263,false,true,false,0,near_but_not_decisive_optional_response
R2C0022,60,R1A0056,unresolved_atom,uncertain_bbox_membership,59.093147,106.057142,false,true,false,0.535673,near_but_not_decisive_optional_response
R2C0022,60,R1A0057,unresolved_atom,uncertain_bbox_membership,42.426407,103.514626,false,true,false,0.609825,near_but_not_decisive_optional_response
R2C0022,60,R1A0058,isolated_small_atom,exclude_from_bbox,192.093727,226.068352,false,true,false,0.830703,too_far_or_would_expand_blank_area
R2C0022,60,R1A0059,unresolved_atom,include_in_bbox,0,51.071939,false,true,false,0,near_core_compatible_optional_response
R2C0022,60,R1A0061,endpoint_hotspot_candidate,include_in_bbox,0,33.695612,false,true,false,0,near_core_compatible_optional_response
R2C0022,60,R1A0062,endpoint_hotspot_candidate,uncertain_bbox_membership,36,71.599163,false,true,false,0,near_but_not_decisive_optional_response
R2C0022,60,R1A0063,isolated_small_atom,include_in_bbox,0,42.219271,false,true,false,0.016529,near_core_compatible_optional_response
R2C0023,60,R1A0055,unresolved_atom,include_in_bbox,0,60.813496,false,true,false,0,near_core_compatible_optional_response
R2C0023,60,R1A0056,unresolved_atom,include_in_bbox,12,80.250936,false,true,false,0.156725,near_core_compatible_optional_response
R2C0023,60,R1A0057,unresolved_atom,include_in_bbox,12,80.254372,false,true,false,0.382456,near_core_compatible_optional_response
R2C0023,60,R1A0058,isolated_small_atom,exclude_from_bbox,156.115342,205.494769,false,true,false,0.675753,too_far_or_would_expand_blank_area
R2C0023,60,R1A0062,endpoint_hotspot_candidate,include_in_bbox,6,59.410622,false,true,false,0.065163,near_core_compatible_optional_response
R2C0023,60,R1A0063,isolated_small_atom,include_in_bbox,0,56.591879,false,true,false,0,near_core_compatible_optional_response
R2C0024,77,R1A0064,unresolved_atom,uncertain_bbox_membership,24,81.977601,false,true,false,0.051449,near_but_not_decisive_optional_response
R2C0024,77,R1A0065,unresolved_atom,uncertain_bbox_membership,55.317267,131.063457,false,true,false,0.703456,near_but_not_decisive_optional_response
