family_id,sar_frame,member_box_a,member_box_b,bbox_iou,center_distance_px,core_overlap_ratio,core_subset_relation,relation_type,pairwise_valid,invalid_reason,would_single_link_component,empty_optional_equality_seen
R21R1F00158,289,R21B00236,R21B00241,0.882353,6,1,a_subset_b,high_iou_boundary_variant,true,,SL000289_001,true
R21R1F00158,289,R21B00236,R21B00242,0.681818,21,1,a_subset_b,nested_same_core_variant,true,,SL000289_001,true
R21R1F00158,289,R21B00241,R21B00242,0.772727,15,0.5,overlap,high_iou_boundary_variant,true,,SL000289_001,true
R21R1F00159,289,R21B00237,R21B00243,0.153846,30.88689,1,a_subset_b,nested_same_core_variant,true,,SL000289_001,true
R21R1F00160,289,R21B00238,R21B00238,1,0,1,equal,single_member_family,true,,SL000289_001,false
R21R1F00161,289,R21B00239,R21B00239,1,0,1,equal,single_member_family,true,,SL000289_002,false
R21R1F00162,289,R21B00240,R21B00240,1,0,1,equal,single_member_family,true,,SL000289_003,false
R21R1F00163,290,R21B00244,R21B00247,0.882353,6,1,a_subset_b,high_iou_boundary_variant,true,,SL000290_001,true
R21R1F00163,290,R21B00244,R21B00248,0.625,27,1,a_subset_b,nested_same_core_variant,true,,SL000290_001,true
R21R1F00163,290,R21B00244,R21B00250,0.625,27,1,a_subset_b,nested_same_core_variant,true,,SL000290_001,true
R21R1F00163,290,R21B00247,R21B00248,0.708333,21,0.5,overlap,nested_same_core_variant,true,,SL000290_001,true
R21R1F00163,290,R21B00247,R21B00250,0.708333,21,1,a_subset_b,nested_same_core_variant,true,,SL000290_001,true
R21R1F00163,290,R21B00248,R21B00250,1,0,1,a_subset_b,exact_duplicate_bbox,true,,SL000290_001,true
R21R1F00164,290,R21B00245,R21B00249,0.177778,36.619667,1,a_subset_b,nested_same_core_variant,true,,SL000290_001,true
R21R1F00165,290,R21B00246,R21B00246,1,0,1,equal,single_member_family,true,,SL000290_001,false
